brand,stars,reviewsCount,Category,price/value,brands,main_category
Ambrane,3.8,1429.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",179.0,ambrane,Headphones
ZEBRONICS,3.7,1161.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",699.0,zebronics,Headphones
HP,3.9,67.0,Computers & Accessories › Laptops › Traditional Laptops,60990.0,hp,Traditional Laptops
BoAt,3.9,1795.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",349.0,boat,Headphones
Generic,2.5,3.0,Video Games › Video Games NCEMI,1699.0,generic,
Bang & Olufsen,4.5,1503.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,17998.0,bang & olufsen,Speakers
Lenovo,4.5,2.0,Computers & Accessories › Laptops › Traditional Laptops,48990.0,lenovo,Traditional Laptops
BlackBerry,3.7,57.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,23199.0,blackberry,Smartphones & Basic Mobiles
ZEBSTER,3.2,820.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",349.0,zebster,Headphones
OnePlus,4.1,134155.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",2299.0,oneplus,Headphones
Samsung,3.9,12723.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,7499.0,samsung,Smartphones & Basic Mobiles
Harman Kardon,4.1,38.0,Electronics › Home Audio › Speakers,23999.0,harman kardon,Speakers
VGRASSP,3.2,170.0,Toys & Games › Electronic Toys › Handheld Games,861.0,vgrassp,Handheld Games
AXL,3.2,177.0,Computers & Accessories › Laptops › Traditional Laptops,14990.0,axl,Traditional Laptops
KAAS,3.5,4.0,Video Games › Legacy Systems › Nintendo Systems,399.0,kaas,Nintendo Systems
Razer,4.1,61.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Gamepads,11799.0,razer,PC Gaming Peripherals
HP,3.6,15.0,Computers & Accessories › Laptops › Traditional Laptops,14899.0,hp,Traditional Laptops
Haier,4.0,114.0,Home & Kitchen › Large Appliances › Refrigerators,25490.0,haier,Refrigerators
Edifier,4.4,6049.0,Electronics › Home Audio › Speakers › Bookshelf Speakers,10451.0,edifier,Speakers
WTG,3.0,87.0,Electronics › Wearable Technology › Smart Watches,660.0,wtg,Smart Watches
Amazon basics,4.4,23188.0,Computers & Accessories › Accessories & Peripherals › Audio & Video Accessories › PC Speakers,379.0,amazon basics,Audio & Video Accessories
MICROMINI,2.0,1.0,Video Games › Online Game Services,12499.0,micromini,
ZEBRONICS,3.9,84.0,Computers & Accessories › Laptops › Traditional Laptops,39990.0,zebronics,Traditional Laptops
IQOO,4.3,2073.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,23999.0,iqoo,Smartphones & Basic Mobiles
Oraimo,3.9,78.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Open-Ear Headphones",5999.0,oraimo,Headphones
Vu,4.5,1548.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",119999.0,vu,Televisions
Hammer,3.8,1815.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",2099.0,hammer,Headphones
Lenovo,4.4,5037.0,Computers & Accessories › Laptops › Traditional Laptops,18990.0,lenovo,Traditional Laptops
X Electron,4.2,59.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",8499.0,x electron,Televisions
Dell,3.0,2.0,Computers & Accessories › Laptops › Traditional Laptops,17990.0,dell,Traditional Laptops
boAt,4.1,62638.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",2799.0,boat,Headphones
YAMAHA,3.2,30.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › On-Ear",11682.0,yamaha,Headphones
2&CO,5.0,1.0,Video Games › PlayStation 5,36990.0,2&co,
Generic,4.7,60.0,Video Games › No Cost EMI | Automated,65000.0,generic,
LG Electronics India Pvt. Ltd,4.3,1660.0,Home & Kitchen › Large Appliances › Refrigerators,16290.0,lg electronics india pvt. ltd,Refrigerators
ASUS,5.0,2.0,Computers & Accessories › Laptops › Traditional Laptops,94990.0,asus,Traditional Laptops
Sonodyne,4.3,46.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,20999.0,sonodyne,Speakers
Sennheiser Professional Audio,4.5,1719.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › On-Ear",10325.0,sennheiser professional audio,Headphones
Redmi,3.8,4255.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,6299.0,redmi,Smartphones & Basic Mobiles
LG,4.0,1250.0,Electronics › Home Audio › Speakers › Soundbar Speakers,8988.0,lg,Speakers
Samsung,4.5,2.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",115000.0,samsung,Televisions
Sony,4.0,9736.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,2988.0,sony,Speakers
Fossil,3.8,1889.0,Fashion › Watches › Smartwatches & Activity tracker › Smartwatches,9598.0,fossil,Smartwatches & Activity tracker
PTron,3.6,18.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,598.0,ptron,Speakers
Titan,3.7,16.0,Electronics › Wearable Technology › Smart Watches,9995.0,titan,Smart Watches
TOZO,4.4,724.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",13850.0,tozo,Headphones
LG,4.3,1468.0,Home & Kitchen › Large Appliances › Refrigerators,20990.0,lg,Refrigerators
Muzen,4.3,1240.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,5499.0,muzen,Speakers
